
Source                                    CommandType Synopsis
HgsClient                                    Function ConvertTo-HgsKeyProtector [-Bytes] <byte[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]
PowerShellEditorServices.Commands            Function Converts position and range objects from PowerShellEditorServices to ScriptExtent objects.
WebAdministration                            Function ConvertTo-WebApplication [[-PSPath] <string[]>] [-ApplicationPool <string>] [-Force] [-WhatIf] [-Confirm] [<CommonParameters>]
NetSecurity                                  Function Copy-NetFirewallRule [-All] [-PolicyStore <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <CimSession[]>] [-ThrottleLimit <i…
NetSecurity                                  Function Copy-NetIPsecMainModeCryptoSet [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <…
NetSecurity                                  Function Copy-NetIPsecMainModeRule [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <CimSe…
NetSecurity                                  Function Copy-NetIPsecPhase1AuthSet [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <CimS…
NetSecurity                                  Function Copy-NetIPsecPhase2AuthSet [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <CimS…
NetSecurity                                  Function Copy-NetIPsecQuickModeCryptoSet [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession …
NetSecurity                                  Function Copy-NetIPsecRule [-All] [-PolicyStore <string>] [-GPOSession <string>] [-TracePolicyStore] [-NewPolicyStore <string>] [-NewGPOSession <string>] [-NewName <string>] [-CimSession <CimSession[]>…
